id,power_type,zones,type,description
221329577,USB; от аккумулятора,ноги; спина; тело,электроимпульсный; вибромассажер,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.


Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Цвет монитора может быть синим или зеленым. Есть противопоказания.Инструкция на русском языке приложена к массажеру и на фото."
334678554,от аккумулятора,тело,электроимпульсный,"Четырехканальное обезболивание: 4-канальный стимулятор мышц EMS,TENS, Массаж предлагает четыре канала для точечного обезболивания. Независимо от того, боретесь ли вы с болью в спине, мышечным напряжением или дискомфортом в колене, это устройство обеспечивает комплексное покрытие.
Полный комплект для лечения боли: с включенным набором из 16 электродов у вас будет обширный запас для нескольких сеансов терапии. Попрощайтесь с неудобствами, связанными с отсутствием электродов.
Профессионалы доверяют: этот миостимулятор является предпочтительным выбором среди медицинских работников благодаря своей эффективности в решении различных проблем: от облегчения синдрома запястного канала до снятия мышечной боли.
Тройная терапия, тройные преимущества: ощутите комбинированные преимущества мышечной стимуляции EMS и терапии TENS , расслабления Массажем в одном устройстве. Достигайте расслабления мышц и направленного снятия боли с легкостью.
Облегчение боли на ходу: этот портативный прибор TENS позволяет вам брать облегчение боли с собой, куда бы вы ни пошли. Независимо от того, являетесь ли вы спортсменом, ищущим мышечную массажную терапию, или тем, кто нуждается в облегчении боли в шее, это устройство — ваше верное решение.
Четвертым преимуществом данного прибора является программа ""Сделай сам""-вы можете настроить одну программу исключительно под себя и свои нужды."
221352035,от аккумулятора,тело,электроимпульсный,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.

 Прибор миниатюрен по размерам, удобен в переноске и перезаряжаем через USB. 

Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Есть противопоказания. Инструкция на русском языке приложена к массажеру и на фото."
91028354,220В (5А); 3 батарейки ААА; USB-шнур,ноги; пресс; тело,миостимулятор; Массажер электрический; лечение,"Миостимулятор импульсный массажер электрический для мышц всего тела используется для лечения, похудения, физиотерапии, тренировки, как антицеллюлитный массажер. 
В комплекте терапевтические тапочки-электроды, перчатки-электроды, носки-электроды, напульсники нарукавники-электроды, 16 липучек электродов, 2 шнура для накладок (на 2 и 4 электрода). 
ИНСТРУКЦИЯ НА РУССКОМ ЯЗЫКЕ в комплекте! Также она прикреплена в виде фото в карточке товара.
!ОБРАТИТЕ ВНИМАНИЕ, что без прикрепления электродов к участкам тела прибор через 3 секунды автоматически отключается во избежании перегрева! 
Электростимулятор для всего тела JR-309 – идеальный прибор для домашней физиотерапии, лечения, реабилитации, похудения и расслабления. Теперь не нужно тратиться на дорогостоящие процедуры в медицинских центрах и массажистов! 
Миостимулятор во время работы задействует все группы мышц. С помощью электродов сами можете регулировать на какие мышцы воздействовать. 
На обрабатываемую зону накладываются специальные накожные электроды. Через них на нервные окончания подаются электрические импульсы, которые заставляют мышцы сокращаться. После процедуры активизируется рост мышечных волокон, нормализуется работа лимфатической системы и кровообращения, ускоряются обменные процессы в организме и многое другое. 
Миостимулятор профессионально воздействует даже на очень слабые и обленившиеся мышцы к регулярным нагрузкам, помогает восстановиться после перенесенных травм, операций и болезней (для лечения невралгии, заболеваний костно-мышечной ткани, для поддержания прекрасного самочувствия). 
С помощью цифрового дисплея вы можете управлять электрическим массажёром: регулировать нагрузку, интенсивность и период воздействия биорезонансных токов. 
Электростимулятор для всего тела можно использовать в четырёх терапевтических режимах: массаж, шиацу, вибрационное постукивание, а также иглоукалывание. 
В приборе объедено 8 режимов работы и 10 уровней интенсивности. Сеанс рассчитан на 15 минут, потом прибор отключится."
169351017,от аккумулятора; от сети,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа,миостимулятор; массажер электрический импульсный; Миостимулятор EMS - TENS,"Миостимулятор SHUBOSHI FZ-1 ""ШУБОШИ"" или ""Удобный Доктор"" - профессионал в области мионейростимуляции, воздействует низкочастотными биоэлектрическими импульсами уникальной формы, воссоздающими различные техники массажа. SHUBOSHI FZ-1 не уступает по эффективности профессиональным миостимуляторам, которые стоят в разы дороже, но при этом портативен и прост в эксплуатации. Миостимулятор имеет 4 уникальных режима для мио- и нейростимуляции: общеукрепляющий, акупунктурный, нормализующий и комбинированный, которые отлично решают такие задачи, как устранение болей, улучшение физиологического состояния, восстановление и укрепление различных групп мышц, улучшение местного кровообращения, нормализация обмена веществ, снятие стресса и др. Массажные режимы SHUBOSHI позволяют осуществлять в домашних условиях массаж с эффектом лифтинга и лимфодренажа, способствуя подтяжке кожи и ее омоложению естественными методами, а также с антицеллюлитным эффектом, помогая убрать лишние килограммы и скорректировать свой вес."
221329577,USB; от аккумулятора,ноги; спина; тело,электроимпульсный; вибромассажер,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.


Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Цвет монитора может быть синим или зеленым. Есть противопоказания.Инструкция на русском языке приложена к массажеру и на фото."
334678554,от аккумулятора,тело,электроимпульсный,"Четырехканальное обезболивание: 4-канальный стимулятор мышц EMS,TENS, Массаж предлагает четыре канала для точечного обезболивания. Независимо от того, боретесь ли вы с болью в спине, мышечным напряжением или дискомфортом в колене, это устройство обеспечивает комплексное покрытие.
Полный комплект для лечения боли: с включенным набором из 16 электродов у вас будет обширный запас для нескольких сеансов терапии. Попрощайтесь с неудобствами, связанными с отсутствием электродов.
Профессионалы доверяют: этот миостимулятор является предпочтительным выбором среди медицинских работников благодаря своей эффективности в решении различных проблем: от облегчения синдрома запястного канала до снятия мышечной боли.
Тройная терапия, тройные преимущества: ощутите комбинированные преимущества мышечной стимуляции EMS и терапии TENS , расслабления Массажем в одном устройстве. Достигайте расслабления мышц и направленного снятия боли с легкостью.
Облегчение боли на ходу: этот портативный прибор TENS позволяет вам брать облегчение боли с собой, куда бы вы ни пошли. Независимо от того, являетесь ли вы спортсменом, ищущим мышечную массажную терапию, или тем, кто нуждается в облегчении боли в шее, это устройство — ваше верное решение.
Четвертым преимуществом данного прибора является программа ""Сделай сам""-вы можете настроить одну программу исключительно под себя и свои нужды."
221352035,от аккумулятора,тело,электроимпульсный,"Импульсный массажер – это высокотехнологичный инновационный прибор с увеличенным до 36-ти количеством программ для более широкого спектра применений на различных участках тела человека. EMS импульсы воздействуют на мышцы, а TENS на нервные окончания, кровеносные и лимфатические сосуды. В результате чего осуществляется комплексный массаж всех проблемных, болевых зон организма, который снимает боль, восстанавливает мышцы, кровообращение и отток лимфы. Стимулирует акупунктурные точки под воздействием электронных импульсов, тем самым быстро активизируя кровообращение.

 Прибор миниатюрен по размерам, удобен в переноске и перезаряжаем через USB. 

Миостимулятор - это уникальное устройство, которое сочетает в себе функции вибромассажера и тренажера. Это решение для тех, кто хочет поддерживать свое тело в тонусе, бороться с целлюлитом. Представляем вам устройство для массажа – многофункциональный помощник для мужчин и женщин в борьбе за стройную фигуру и здоровую кожу, а также облегчению и устранению болей в мышцах и суставах после нагрузки или других причинах. Электромассажер оснащен электродами, которые передают электрические импульсы в мышцы, стимулируя их сокращение. Это подобно тренировке в спортзале, но без физического усилия. Такой эффект получил название электромассажа. Антицеллюлитный лимфодренажный эффект достигается за счет вибрации и миостимуляции, которые улучшают кровообращение и лимфодренаж, помогая тем самым избавиться от целлюлита и способствуют похудению. Антицеллюлитный вибромассажер незаменимый инструмент в борьбе за гладкую и упругую кожу. Убирает жировые складки и подкожный жир. Аппарат подходит для использования на различных частях тела. Он эффективен для тренировки пресса, массажа и ухода за кожей живота. Благодаря разнообразию настроек и режимов, можно выбрать идеальную программу, технику для своих нужд. Электроды можно купить по артикулу 236038784. Есть противопоказания. Инструкция на русском языке приложена к массажеру и на фото."
91028354,220В (5А); 3 батарейки ААА; USB-шнур,ноги; пресс; тело,миостимулятор; Массажер электрический; лечение,"Миостимулятор импульсный массажер электрический для мышц всего тела используется для лечения, похудения, физиотерапии, тренировки, как антицеллюлитный массажер. 
В комплекте терапевтические тапочки-электроды, перчатки-электроды, носки-электроды, напульсники нарукавники-электроды, 16 липучек электродов, 2 шнура для накладок (на 2 и 4 электрода). 
ИНСТРУКЦИЯ НА РУССКОМ ЯЗЫКЕ в комплекте! Также она прикреплена в виде фото в карточке товара.
!ОБРАТИТЕ ВНИМАНИЕ, что без прикрепления электродов к участкам тела прибор через 3 секунды автоматически отключается во избежании перегрева! 
Электростимулятор для всего тела JR-309 – идеальный прибор для домашней физиотерапии, лечения, реабилитации, похудения и расслабления. Теперь не нужно тратиться на дорогостоящие процедуры в медицинских центрах и массажистов! 
Миостимулятор во время работы задействует все группы мышц. С помощью электродов сами можете регулировать на какие мышцы воздействовать. 
На обрабатываемую зону накладываются специальные накожные электроды. Через них на нервные окончания подаются электрические импульсы, которые заставляют мышцы сокращаться. После процедуры активизируется рост мышечных волокон, нормализуется работа лимфатической системы и кровообращения, ускоряются обменные процессы в организме и многое другое. 
Миостимулятор профессионально воздействует даже на очень слабые и обленившиеся мышцы к регулярным нагрузкам, помогает восстановиться после перенесенных травм, операций и болезней (для лечения невралгии, заболеваний костно-мышечной ткани, для поддержания прекрасного самочувствия). 
С помощью цифрового дисплея вы можете управлять электрическим массажёром: регулировать нагрузку, интенсивность и период воздействия биорезонансных токов. 
Электростимулятор для всего тела можно использовать в четырёх терапевтических режимах: массаж, шиацу, вибрационное постукивание, а также иглоукалывание. 
В приборе объедено 8 режимов работы и 10 уровней интенсивности. Сеанс рассчитан на 15 минут, потом прибор отключится."
169351017,от аккумулятора; от сети,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа,миостимулятор; массажер электрический импульсный; Миостимулятор EMS - TENS,"Миостимулятор SHUBOSHI FZ-1 ""ШУБОШИ"" или ""Удобный Доктор"" - профессионал в области мионейростимуляции, воздействует низкочастотными биоэлектрическими импульсами уникальной формы, воссоздающими различные техники массажа. SHUBOSHI FZ-1 не уступает по эффективности профессиональным миостимуляторам, которые стоят в разы дороже, но при этом портативен и прост в эксплуатации. Миостимулятор имеет 4 уникальных режима для мио- и нейростимуляции: общеукрепляющий, акупунктурный, нормализующий и комбинированный, которые отлично решают такие задачи, как устранение болей, улучшение физиологического состояния, восстановление и укрепление различных групп мышц, улучшение местного кровообращения, нормализация обмена веществ, снятие стресса и др. Массажные режимы SHUBOSHI позволяют осуществлять в домашних условиях массаж с эффектом лифтинга и лимфодренажа, способствуя подтяжке кожи и ее омоложению естественными методами, а также с антицеллюлитным эффектом, помогая убрать лишние килограммы и скорректировать свой вес."
